Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh)
2022-01-01,20.5,75.6,Winter,17.3,3446.334987852741,2412.434491496919,1033.9004963558225
2022-01-02,20.9,76.2,Winter,13.6,3608.352501103565,2525.846750772495,1082.5057503310695
2022-01-03,21.3,72.8,Winter,16.7,3458.939428769012,2421.257600138308,1037.6818286307036
2022-01-04,20.8,70.2,Winter,18.3,3435.289744433873,2404.702821103711,1030.586923330162
2022-01-05,20.7,69.9,Winter,18.3,3515.863163619247,2461.1042145334727,1054.7589490857742
2022-01-06,20.7,75.9,Winter,17.1,3423.8357106653707,2396.68499746576,1027.1507131996111
2022-01-07,20.6,77.4,Winter,17.0,3660.3423844153945,2562.239669090776,1098.1027153246184
2022-01-08,20.4,76.7,Winter,13.0,3466.7189793872744,2426.703285571092,1040.0156938161824
2022-01-09,20.5,79.1,Winter,11.9,3653.234745161025,2557.264321612717,1095.9704235483075
2022-01-10,18.5,69.6,Winter,18.6,3514.237487530496,2459.966241271347,1054.271246259149
2022-01-11,17.9,74.4,Winter,18.6,3557.803524045351,2490.4624668317456,1067.3410572136054
2022-01-12,17.7,77.7,Winter,16.5,3544.452406647971,2481.11668465358,1063.3357219943914
2022-01-13,17.8,80.9,Winter,11.5,3488.3758137988825,2441.8630696592177,1046.5127441396648
2022-01-14,18.7,78.6,Winter,13.0,3638.847226820892,2547.193058774624,1091.6541680462678
2022-01-15,18.5,75.8,Winter,18.4,3446.468838800241,2412.5281871601687,1033.9406516400725
2022-01-16,19.1,74.8,Winter,16.1,3557.135262449028,2489.99468371432,1067.1405787347087
2022-01-17,20.3,77.6,Winter,14.6,3553.908539885494,2487.735977919845,1066.1725619656484
2022-01-18,20.6,72.2,Winter,19.1,3464.5493346266403,2425.184534238648,1039.3648003879923
2022-01-19,20.8,66.0,Winter,19.6,3665.7290446790366,2566.0103312753254,1099.7187134037113
2022-01-20,21.4,57.4,Winter,20.1,3376.302275452584,2363.4115928168085,1012.8906826357752
2022-01-21,21.1,63.5,Winter,20.1,3566.771991933197,2496.7403943532377,1070.0315975799592
2022-01-22,20.1,78.1,Winter,15.6,3556.480062218064,2489.5360435526445,1066.9440186654192
2022-01-23,19.3,71.9,Winter,15.4,3565.245978079677,2495.672184655774,1069.5737934239032
2022-01-24,17.0,67.1,Winter,20.4,3547.994498025327,2483.596148617729,1064.3983494075983
2022-01-25,16.5,67.3,Winter,20.7,3561.5926356662026,2493.114844966341,1068.4777906998609
2022-01-26,17.2,64.7,Winter,20.6,3480.1621536917505,2436.1135075842253,1044.0486461075252
2022-01-27,18.1,60.6,Winter,20.4,3519.9394047711257,2463.957583339788,1055.981821431338
2022-01-28,18.4,60.3,Winter,20.8,3385.189120677348,2369.6323844741432,1015.5567362032044
