name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pune,2018-01-01,28.6,11.9,19.4,27.7,11.9,19.3,11.1,62.6,0,0,0,,0,0,22.7,8.3,291.4,1011.4,2.7,6.3,215.8,18.6,8,,2018-01-01T07:06:53,2018-01-01T18:09:16,0.47,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2018-01-02,27.6,11.9,19.4,27.5,11.9,19.4,11.8,64,0,0,0,,0,0,24.1,8.6,36.4,1011.1,0.3,5.5,216.7,18.7,8,,2018-01-02T07:07:13,2018-01-02T18:09:52,0.5,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2018-01-03,28,12.2,19.5,27.6,12.2,19.5,12.4,66.6,0,0,0,,0,0,25.9,9,63.9,1012.5,2.7,4.8,218.1,18.8,8,,2018-01-03T07:07:32,2018-01-03T18:10:29,0.54,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-04,27.6,13.4,20.1,27.2,13.4,20,12.8,66.6,0,0,0,,0,0,20.9,7.9,17.9,1013.4,7.7,5.5,212.4,18.4,8,,2018-01-04T07:07:50,2018-01-04T18:11:06,0.57,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-05,28.6,12.9,20,27.8,12.9,19.9,12.8,66.7,0,0,0,,0,0,22.3,9,324,1012.4,24.7,5.5,203,17.5,8,,2018-01-05T07:08:07,2018-01-05T18:11:43,0.61,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-06,27.1,13.7,19.8,26.8,13.7,19.8,11.6,62.6,0,0,0,,0,0,23.4,9.7,306.3,1011.9,15.5,5.5,210.1,18.3,8,,2018-01-06T07:08:23,2018-01-06T18:12:21,0.64,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-07,26.8,12.4,19,26.8,12.4,19,11,63.2,0,0,0,,0,0,19.4,7.9,294.6,1012.9,3.6,5.5,219.9,18.9,8,,2018-01-07T07:08:37,2018-01-07T18:12:59,0.67,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-08,27.3,11.7,19,27.2,11.7,19,11.2,63.3,0,0,0,,0,0,30.6,11.9,103.1,1013.2,2.8,5.5,219.2,18.9,8,,2018-01-08T07:08:51,2018-01-08T18:13:36,0.71,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-09,26.8,12.4,19.2,26.6,12.4,19.2,11.6,64.8,0,0,0,,0,0,38.9,16.9,98.6,1015.2,4.6,5.7,219.2,18.9,8,,2018-01-09T07:09:03,2018-01-09T18:14:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2018-01-10,27.5,12.9,20,27.2,12.9,19.9,12.7,65.3,0,0,0,,0,0,39.6,16.9,90.8,1016,13.1,5.5,213.5,18.4,8,,2018-01-10T07:09:15,2018-01-10T18:14:53,0.77,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-11,29.6,14.7,21.8,30.1,14.7,22,14.3,64.3,0,0,0,,0,0,29.5,10.8,79.4,1015.3,17,5.5,194.1,16.6,8,,2018-01-11T07:09:25,2018-01-11T18:15:31,0.81,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-12,30,17.1,23,29.6,17.1,23.1,15.4,64.7,0,0,0,,0,0,36.7,15.5,92.4,1014.2,32.2,5.5,176.4,15.3,7,,2018-01-12T07:09:34,2018-01-12T18:16:09,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-13,30,17.4,22.8,29.5,17.4,22.9,16,68,0,0,0,,0,0,29.2,11.9,87,1013.8,29.2,6.3,181.2,15.7,7,,2018-01-13T07:09:41,2018-01-13T18:16:48,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43062099999,43060099999"
pune,2018-01-14,31.8,16.9,23,31,16.9,23,15.6,66.2,0,0,0,,0,0,29.5,10.8,72,1014.1,29.2,5.5,167.6,14.5,7,,2018-01-14T07:09:48,2018-01-14T18:17:26,0.91,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43062099999,43060099999"
