Date,Period,Season,Urban Usage (kWh),Rural Usage (kWh),Total Usage (kWh),Adjusted Total Usage (kWh)
2020-01-01,Pre-lockdown,Winter,2003.468570765056,845.5021361119249,2849.056978688453,3337.162628430733
2020-01-02,Pre-lockdown,Winter,2000.3236784941441,857.0965760822384,2853.7313044662596,3219.4000769534305
2020-01-03,Pre-lockdown,Winter,2004.1834426905034,858.3098694007952,2855.239952546413,3237.7558603805955
2020-01-04,Pre-lockdown,Winter,2008.5051492820403,840.2582222551141,2849.988305569778,3199.4536794465494
2020-01-05,Pre-lockdown,Winter,1999.7492331263834,855.7250045518687,2848.3004490265416,3271.1531352818993
2020-01-06,Pre-lockdown,Winter,1999.8443152152543,861.4669565469234,2858.532849308493,3284.6327779421954
2020-01-07,Pre-lockdown,Winter,2009.0060640775368,856.0039385690532,2860.248498318988,3201.546075967478
2020-01-08,Pre-lockdown,Winter,2004.9271736457645,839.6798519106467,2856.4202902539087,3399.7720768648783
2020-01-09,Pre-lockdown,Winter,1998.6426280703251,859.2374915419838,2851.812590712825,3353.461730613884
2020-01-10,Pre-lockdown,Winter,2003.6928002179297,850.6004451856597,2847.3306713917955,3266.976923399722
2020-01-11,Pre-lockdown,Winter,1998.7079115359377,849.2480044674976,2847.282777967217,3417.7297094769206
2020-01-12,Pre-lockdown,Winter,1998.7163512321488,852.6734764829149,2854.075570526329,3218.550888088965
2020-01-13,Pre-lockdown,Winter,2002.2748113578302,845.1809653871476,2853.5829911044434,3297.464700276655
2020-01-14,Pre-lockdown,Winter,1991.4785987767111,850.4319118546078,2858.4709929647324,3167.717164499188
2020-01-15,Pre-lockdown,Winter,1992.3704108374347,858.5001482255204,2854.645250462681,3233.8934471396583
2020-01-16,Pre-lockdown,Winter,1998.0885623537952,853.4719843526165,2843.744598491201,3371.3668708082755
2020-01-17,Pre-lockdown,Winter,1995.7758443983278,850.6280073605134,2856.4357380886145,3147.8594240236253
2020-01-18,Pre-lockdown,Winter,2002.4962366629763,850.8180407996381,2846.304696863428,3165.602318484222
2020-01-19,Pre-lockdown,Winter,1996.4948796223941,844.5070300835059,2849.529143640238,3146.0809498969093
2020-01-20,Pre-lockdown,Winter,1994.0234814933235,849.6840605430014,2852.7700010312583,3243.657066050502
2020-01-21,Pre-lockdown,Winter,2008.478243844608,842.2885233218512,2861.58833744892,3189.9973554534786
2020-01-22,Pre-lockdown,Winter,1999.9961184975673,855.562204761969,2867.1245927800264,3395.013628140077
2020-01-23,Pre-lockdown,Winter,2001.4326410234396,839.5094475876233,2854.566615295681,3225.0765939124617
2020-01-24,Pre-lockdown,Winter,1993.9662590689327,854.7105018981035,2850.610016906398,3238.7196366632324
2020-01-25,Pre-lockdown,Winter,1998.4130863773742,855.3510545041703,2854.2615282424026,3412.286157271382
2020-01-26,Pre-lockdown,Winter,2001.7046129485493,857.053823078636,2856.048277129369,3282.959319808186
2020-01-27,Pre-lockdown,Winter,1995.3700321128886,850.8842958158091,2849.9716618722136,3405.880393462259
2020-01-28,Pre-lockdown,Winter,2002.8884900917283,854.9871423307876,2860.3900567795617,3185.439292623861
2020-01-29,Pre-lockdown,Winter,1997.951806550406,849.5832667981739,2852.487353795957,3155.692267068534
2020-01-30,Pre-lockdown,Winter,1999.4865312510335,844.4445144115604,2853.8117154454567,3256.591254750752
2020-01-31,Pre-lockdown,Winter,1997.9764669388528,858.04766196269,2854.708621260272,3306.8250272760224
2020-02-01,Pre-lockdown,Winter,2010.2763909225448,849.9215708519246,2853.5289330530727,3307.4520064455965
2020-02-02,Pre-lockdown,Winter,2000.9975138763104,843.378443412634,2855.6857025023482,3397.566374417061
2020-02-03,Pre-lockdown,Winter,1995.7964453552206,848.099925271051,2848.4327340672653,5078.705950699808
2020-02-04,Pre-lockdown,Winter,2005.192724560516,848.2953765871591,2848.72049123027,3234.8443560548135
2020-02-05,Pre-lockdown,Winter,3639.862171613259,852.7304845906211,2845.9762288351412,3233.3076731654724
2020-02-06,Pre-lockdown,Winter,2002.109317975024,862.1612374168637,2853.688506153101,3374.2130211690437
2020-02-07,Pre-lockdown,Winter,1991.1716493806011,853.0000930664129,2855.252682517561,3288.0650290926496
2020-02-08,Pre-lockdown,Winter,1994.3540697555077,851.4322192599826,2853.6818643307593,3318.855548741492
2020-02-09,Pre-lockdown,Winter,2002.0343061793455,862.6988809978127,2859.8424621667373,3359.19052678069
2020-02-10,Pre-lockdown,Winter,2004.8223328999773,855.3464676995636,2851.554019905855,3284.641861521065
2020-02-11,Pre-lockdown,Winter,2001.9918414059498,851.7252460206746,2854.9327082779623,3148.404675006909
2020-02-12,Pre-lockdown,Winter,2000.5867585880587,848.0689407059095,2846.1724956193034,3326.8234084278433
2020-02-13,Pre-lockdown,Winter,1999.6394815220535,852.0390003810228,2849.667501487628,3158.173901829476
2020-02-14,Pre-lockdown,Winter,1993.7723900481628,850.1340479795343,2855.1086887878287,3210.9370858778893
2020-02-15,Pre-lockdown,Winter,1997.5807789580265,850.929170637795,2855.8975105537156,3152.410631032387
2020-02-16,Pre-lockdown,Winter,1998.901806145201,857.0540121238473,2850.217165261679,3401.3584714579006
2020-02-17,Pre-lockdown,Winter,2006.5006111310945,847.7843890843126,2851.3430037407097,3143.3055326106596
2020-02-18,Pre-lockdown,Winter,2002.9580914478422,853.0637035408175,2844.1466312665957,3353.6971945986743
2020-02-19,Pre-lockdown,Winter,1992.4397992231864,855.2466999491879,2849.971853995967,3392.798081187141
2020-02-20,Pre-lockdown,Winter,2002.870419846974,847.1894374158779,2856.201915817599,3252.3781844800783
2020-02-21,Pre-lockdown,Winter,1999.3145885979184,846.3828929225544,2854.612025080533,3362.527548402183
2020-02-22,Pre-lockdown,Winter,1997.8653899984702,849.7482903870955,2854.253328606906,3184.2754645722066
2020-02-23,Pre-lockdown,Winter,2004.3183814442043,848.1958520487177,2852.012868435905,3182.563544234722
2020-02-24,Pre-lockdown,Winter,2006.4149976124797,856.2656630437075,2851.799315793141,3347.1038741906323
2020-02-25,Pre-lockdown,Winter,2005.8164005955812,845.4551586071768,2848.322394302633,3221.6422706457133
2020-02-26,Pre-lockdown,Winter,1996.908912383887,850.7843568426433,2855.0411421010126,3156.535783960959
2020-02-27,Pre-lockdown,Winter,1999.588938120744,863.1842416670223,2853.6938647219467,3346.864540538561
2020-02-28,Pre-lockdown,Winter,2002.8513171570178,852.5432826689308,2854.1330942399636,3255.649981928896
2020-02-29,Pre-lockdown,Winter,2006.1027256356117,853.3864507215244,2849.0848257866623,3339.5539886820957
2020-03-01,Lockdown,Summer,1398.4581288107736,856.2914124784857,2240.5752854006437,2714.6413347353773
2020-03-02,Lockdown,Summer,1399.915205116681,848.1672546728731,4317.203563774539,2601.608949675563
2020-03-03,Lockdown,Summer,1395.2733251299699,1568.6807155142014,2248.8708127199584,2697.72256315
2020-03-04,Lockdown,Summer,1394.7819668795967,851.3185563808138,2246.8851211797846,2693.2422081341665
2020-03-05,Lockdown,Summer,1404.839629111971,851.7710191417426,2254.6883945595696,2731.9189363453047
2020-03-06,Lockdown,Summer,1407.5512001428538,842.3489460264343,2249.2499368004046,2778.616102334948
2020-03-07,Lockdown,Summer,1400.4134493920983,852.3173595734139,2256.515181920233,2746.7904296870493
2020-03-08,Lockdown,Summer,1405.8296644894601,855.8132524935053,2254.3610297478835,2673.5182443147014
2020-03-09,Lockdown,Summer,1402.648180125238,845.9152596348799,2254.7378466160026,2738.3260461938316
2020-03-10,Lockdown,Summer,1397.5724012269743,852.6337792418741,2244.4242214439973,2714.3775183628045
2020-03-11,Lockdown,Summer,1402.6154780275422,854.9233183018507,2257.330219926932,2717.9104878003986
2020-03-12,Lockdown,Summer,1408.47418283233,853.3813910426504,2252.5382526561693,2640.732721750859
2020-03-13,Lockdown,Summer,1400.59086980445,853.8450311937079,2249.363614303769,2688.814170616192
2020-03-14,Lockdown,Summer,1408.62821827907,849.2359987909686,2251.9819423367117,2768.261890683194
2020-03-15,Lockdown,Summer,1387.7622744795515,844.8544783112969,2242.4718238355085,2689.4296923994257
2020-03-16,Lockdown,Summer,1405.016012521876,848.2822676880804,2253.4677640574037,2599.7981414685537
2020-03-17,Lockdown,Summer,1401.3872353411907,847.6137144906469,2246.3491424590898,2693.7147265444423
2020-03-18,Lockdown,Summer,1399.4604632476708,850.1447047689624,2244.7381485707824,2666.274954810906
2020-03-19,Lockdown,Summer,1401.3863038826776,855.9963545272997,2243.8457040689104,2589.492801596014
2020-03-20,Lockdown,Summer,1390.9266554269955,843.9347993591792,2256.9219418749494,2801.507953531274
2020-03-21,Lockdown,Summer,1399.7591405608123,851.211250114087,2248.201183031536,2694.592663947319
2020-03-22,Lockdown,Summer,1402.6990628575588,845.2049917724108,2259.1041385495823,2677.42364943875
2020-03-23,Lockdown,Summer,1408.3379702237075,846.8417654108862,2248.8114926847384,2715.5036814073333
2020-03-24,Lockdown,Summer,1398.3851489086317,853.3517037630592,2242.9977102120356,2796.014160619366
2020-03-25,Lockdown,Summer,1396.874531985534,844.5742747331715,2245.8583778002567,2621.3054710363167
2020-03-26,Lockdown,Summer,1398.4152147820773,854.1992214485149,2257.631058100035,2753.9587104488105
2020-03-27,Lockdown,Summer,1405.5150105885104,843.7751777668764,2250.6945091103166,2661.264572703111
2020-03-28,Lockdown,Summer,1402.5432555482985,853.8489020171908,2248.672063517547,2666.509503874951
2020-03-29,Lockdown,Summer,1398.2611989811649,842.7723436521075,2252.2300911292637,2804.5143179392776
2020-03-30,Lockdown,Summer,1403.5183371655667,847.4549366037169,2254.004913680838,2676.127972786626
2020-03-31,Lockdown,Summer,1401.42688774674,860.0204719156478,2257.0664940795123,2764.494298595921
2020-04-01,Lockdown,Summer,1405.8092249526644,859.0947318488345,2258.760496149465,2749.726908467939
2020-04-02,Lockdown,Summer,1397.4767345306134,848.5013767374143,2249.7521567710546,2610.1483210565557
2020-04-03,Lockdown,Summer,1399.366189267011,852.5238029301495,2244.9482615695897,2736.549280212716
2020-04-04,Lockdown,Summer,1399.043959234339,856.5943400944244,2249.511174194384,2804.520053376465
2020-04-05,Lockdown,Summer,1393.6904252593395,853.9824808721024,2252.885402532914,2782.857417845367
2020-04-06,Lockdown,Summer,1402.4466013853228,849.1846787677259,2246.699205368947,2728.791045864806
2020-04-07,Lockdown,Summer,1402.2642763608992,846.8048234298184,2246.721245425525,2732.6179240435076
2020-04-08,Lockdown,Summer,1400.928567283212,854.8565157147896,2253.1379394077494,2818.5911090213513
2020-04-09,Lockdown,Summer,1399.7685643331242,856.1915165430726,4306.998546737953,2765.540629914688
2020-04-10,Lockdown,Summer,1393.8961462897478,859.134509171972,2251.692984977058,2693.630515419646
2020-04-11,Lockdown,Summer,1398.9187733861731,842.1477528827346,2247.8135233264998,2780.192412349847
2020-04-12,Lockdown,Summer,1399.3154274173662,844.3223760589947,2250.4649964289715,2676.8918205513664
2020-04-13,Lockdown,Summer,1397.0316136538918,856.4056180107355,2247.0178342786585,2594.6058170987194
2020-04-14,Lockdown,Summer,1400.23307144167,842.8363472662492,2256.0844920556237,2693.6538823606056
2020-04-15,Lockdown,Summer,1403.0667542840727,856.7907497745596,2256.8207466736185,2612.9845396816086
2020-04-16,Lockdown,Summer,1410.4459295060528,849.5053374700731,2242.3640606888093,2743.9587482142974
2020-04-17,Lockdown,Summer,1401.891389064159,847.9774309033165,2246.952945699038,2739.9916055000267
2020-04-18,Lockdown,Summer,1402.327251953614,851.6211429813574,2244.1508537245495,2752.2600167801756
2020-04-19,Lockdown,Summer,1400.656770421169,843.8611577388225,2248.3668803279656,2786.544547412821
2020-04-20,Lockdown,Summer,1391.4456439235048,854.7140741529918,2251.216310151048,2709.186686391536
2020-04-21,Lockdown,Summer,1400.857930622754,859.0141849884735,2244.3082739015076,2717.9119111922955
2020-04-22,Lockdown,Summer,1401.284651049705,854.9148810790712,2246.9362009343736,2698.1896934525453
2020-04-23,Lockdown,Summer,1413.3452105624265,849.3554565372293,2246.597213139593,2774.5558201132917
