Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh)
2022-01-01,20.5,75.6,Winter,17.3,0.0,3130000,3446.334987852741,2412.434491496919,1033.9004963558225,723.7303474490756,603.1086228742297,482.48689829938377,120.62172457484594,465.2552233601201,258.4751240889556,206.78009927116452,103.39004963558226
2022-01-02,20.9,76.2,Winter,13.6,0.0,3130000,3608.352501103565,2525.846750772495,1082.5057503310695,757.7540252317484,631.4616876931237,505.169350154499,126.29233753862475,487.1275876489813,270.6264375827674,216.5011500662139,108.25057503310695
2022-01-03,21.3,72.8,Winter,16.7,0.0,3130000,3458.939428769012,2421.257600138308,1037.6818286307036,726.3772800414924,605.314400034577,484.2515200276616,121.0628800069154,466.95682288381664,259.4204571576759,207.53636572614073,103.76818286307036
2022-01-04,20.8,70.2,Winter,18.3,0.0,3130000,3435.289744433873,2404.702821103711,1030.586923330162,721.4108463311132,601.1757052759277,480.9405642207422,120.23514105518555,463.76411549857295,257.6467308325405,206.11738466603242,103.05869233301621
2022-01-05,20.7,69.9,Winter,18.3,0.0,3130000,3515.863163619247,2461.1042145334727,1054.7589490857742,738.3312643600418,615.2760536333682,492.22084290669454,123.05521072667364,474.6415270885984,263.68973727144356,210.95178981715486,105.47589490857743
2022-01-06,20.7,75.9,Winter,17.1,0.0,3130000,3423.8357106653707,2396.68499746576,1027.1507131996111,719.0054992397279,599.17124936644,479.336999493152,119.834249873288,462.217820939825,256.7876782999028,205.43014263992222,102.71507131996111
2022-01-07,20.6,77.4,Winter,17.0,0.0,3130000,3660.3423844153945,2562.239669090776,1098.1027153246184,768.6719007272327,640.559917272694,512.4479338181552,128.1119834545388,494.1462218960783,274.5256788311546,219.6205430649237,109.81027153246185
2022-01-08,20.4,76.7,Winter,13.0,0.0,3130000,3466.7189793872744,2426.703285571092,1040.0156938161824,728.0109856713275,606.675821392773,485.3406571142184,121.3351642785546,468.0070622172821,260.0039234540456,208.0031387632365,104.00156938161825
2022-01-09,20.5,79.1,Winter,11.9,0.0,3130000,3653.234745161025,2557.264321612717,1095.9704235483075,767.1792964838152,639.3160804031793,511.45286432254346,127.86321608063587,493.1866905967384,273.9926058870769,219.19408470966152,109.59704235483076
2022-01-10,18.5,69.6,Winter,18.6,0.0,3130000,3514.237487530496,2459.966241271347,1054.271246259149,737.9898723814041,614.9915603178367,491.9932482542694,122.99831206356735,474.42206081661703,263.56781156478723,210.8542492518298,105.4271246259149
