Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Day,Month,Year,Season_Autumn,Season_Monsoon,Season_Post-Monsoon,Season_Summer,Season_Winter,Period_Lockdown,Period_Post-lockdown,Period_Pre-lockdown
0,19.4,62.6,4,18.6,0.0,3130000,3313.849834,1962.417734,1351.4321,654.1392447,872.1856596,436.0928298,218.0464149,750.7956112,300.3182445,300.3182445,150.1591222,2,1,1,2018,0,0,0,0,1,0,0,1
1,19.4,64.0,4,18.7,0.0,3130000,3181.226378,1961.147725,1220.078653,653.6627434,871.5503246,435.7751623,217.8875811,677.7663486,271.1065394,271.1065394,135.5532697,2,2,1,2018,0,0,0,0,1,0,0,1
2,19.5,66.6,4,18.8,0.0,3130000,3177.096061,1797.063675,1380.032386,598.9237993,798.5650657,399.2825329,199.6412664,766.5599643,306.6239857,306.6239857,153.3119929,2,3,1,2018,0,0,0,0,1,0,0,1
3,20.1,66.6,4,18.4,0.0,3130000,3150.768605,1833.263455,1317.50515,610.9387482,814.5849976,407.2924988,203.6462494,731.768753,292.7075012,292.7075012,146.3537506,2,4,1,2018,0,0,0,0,1,0,0,1
4,20.0,66.7,4,17.5,0.0,3130000,3380.872107,2130.38077,1250.491337,709.8959689,946.5279585,473.2639792,236.6319896,694.4914667,277.7965867,277.7965867,138.8982933,2,5,1,2018,0,0,0,0,1,0,0,1
5,19.8,62.6,4,18.3,0.0,3130000,3151.281009,1914.85346,1236.427548,638.0250215,850.7000287,425.3500143,212.6750072,686.6249642,274.6499857,274.6499857,137.3249928,2,6,1,2018,0,0,0,0,1,0,0,1
6,19.0,63.2,4,18.9,0.0,3130000,3151.53721,1960.013584,1191.523626,653.019186,870.692248,435.346124,217.673062,661.63469,264.653876,264.653876,132.326938,2,7,1,2018,0,0,0,0,1,0,0,1
7,19.0,63.3,4,18.9,0.0,3130000,3238.958963,1893.304213,1345.65475,630.7422994,840.9897326,420.4948663,210.2474331,747.160586,298.8642344,298.8642344,149.4321172,2,8,1,2018,0,0,0,0,1,0,0,1
8,19.2,64.8,4,18.9,0.0,3130000,3152.049614,2011.437152,1140.612461,670.0430732,893.3907643,446.6953821,223.3476911,633.2615447,253.3046179,253.3046179,126.6523089,2,9,1,2018,0,0,0,0,1,0,0,1
9,20.0,65.3,4,18.4,0.0,3130000,3297.123773,1993.641114,1303.48266,664.0609421,885.4145895,442.7072947,221.3536474,723.6273343,289.4509337,289.4509337,144.7254669,2,10,1,2018,0,0,0,0,1,0,0,1
10,21.8,64.3,4,16.6,0.0,3130000,3212.797986,1944.584476,1268.21351,647.6680518,863.5574024,431.7787012,215.8893506,703.9904781,281.5961913,281.5961913,140.7980956,2,11,1,2018,0,0,0,0,1,0,0,1
11,23.0,64.7,4,15.3,0.0,3130000,3152.818219,2038.641035,1114.177184,678.939583,905.2527773,452.6263887,226.3131943,618.4340283,247.3736113,247.3736113,123.6868057,2,12,1,2018,0,0,0,0,1,0,0,1
12,22.8,68.0,4,15.7,0.0,3130000,3153.07442,1768.903717,1384.170704,589.0596462,785.4128617,392.7064308,196.3532154,768.2339229,307.2935692,307.2935692,153.6467846,2,13,1,2018,0,0,0,0,1,0,0,1
13,23.0,66.2,4,14.5,0.0,3130000,3198.559475,1942.258953,1256.300522,646.7358311,862.3144414,431.1572207,215.5786104,697.2075489,278.8830196,278.8830196,139.4415098,2,14,1,2018,0,0,0,0,1,0,0,1
14,23.1,68.3,4,14.3,0.0,3130000,3153.586824,1969.300503,1184.286321,655.6868871,874.2491828,437.1245914,218.5622957,657.1885215,262.8754086,262.8754086,131.4377043,2,15,1,2018,0,0,0,0,1,0,0,1
15,23.3,65.1,4,15.6,0.0,3130000,3153.843026,1869.804111,1284.038915,622.5085714,830.0114286,415.0057143,207.5028571,712.4857143,284.9942857,284.9942857,142.4971429,2,16,1,2018,0,0,0,0,1,0,0,1
16,22.6,54.8,4,18.4,0.0,3130000,3154.099227,1815.384176,1338.715051,604.3416035,805.7888047,402.8944024,201.4472012,742.7639941,297.1055976,297.1055976,148.5527988,2,17,1,2018,0,0,0,0,1,0,0,1
17,21.3,58.7,4,18.8,0.0,3130000,3421.731506,2012.991356,1408.74015,670.0706281,893.4275042,446.7137521,223.356876,781.5527825,312.621113,312.621113,156.3105565,2,18,1,2018,0,0,0,0,1,0,0,1
18,21.0,57.6,4,19.2,0.0,3130000,3183.983728,2037.136911,1146.846817,678.0529609,904.0706145,452.0353073,226.0176536,636.2057091,254.4822836,254.4822836,127.2411418,2,19,1,2018,0,0,0,0,1,0,0,1
19,20.6,56.6,4,20.2,0.0,3130000,3172.123154,1972.143065,1199.980088,656.3667097,875.1556129,437.5778065,218.7889032,665.6269823,266.2507929,266.2507929,133.1253965,2,20,1,2018,0,0,0,0,1,0,0,1
20,20.2,55.8,4,20.3,0.0,3130000,3398.319664,1939.26088,1459.058785,645.3704835,860.4939781,430.246989,215.1234945,809.2717895,323.7087158,323.7087158,161.8543579,2,21,1,2018,0,0,0,0,1,0,0,1
21,20.7,57.8,4,20.1,0.0,3130000,3155.380236,1870.49172,1284.888516,622.4341153,829.9121538,414.9560769,207.4780384,712.6098078,285.0439231,285.0439231,142.5219616,2,22,1,2018,0,0,0,0,1,0,0,1
22,20.5,65.4,4,20.1,50.0,3130000,3286.190067,1947.608168,1338.581899,648.0431497,864.057533,432.0287665,216.0143832,742.328329,296.9313316,296.9313316,148.4656658,2,23,1,2018,0,0,0,0,1,0,0,1
23,19.2,68.1,4,20.4,0.0,3130000,3179.186342,1916.216581,1262.969761,637.5462158,850.0616211,425.0308105,212.5154053,700.3397564,280.1359026,280.1359026,140.0679513,2,24,1,2018,0,0,0,0,1,0,0,1
24,19.3,59.5,4,20.6,0.0,3130000,3156.148841,1884.660742,1271.488099,626.9963424,835.9951232,417.9975616,208.9987808,705.006096,282.0024384,282.0024384,141.0012192,2,25,1,2018,0,0,0,0,1,0,0,1
25,19.5,56.6,4,20.9,0.0,3130000,3156.405043,1822.426092,1333.97895,606.2426625,808.32355,404.161775,202.0808875,739.5955625,295.838225,295.838225,147.9191125,2,26,1,2018,0,0,0,0,1,0,0,1
26,19.8,57.2,4,20.8,0.0,3130000,3156.661244,1921.953884,1234.70736,639.2993806,852.3991741,426.1995871,213.0997935,684.5010323,273.8004129,273.8004129,136.9002065,2,27,1,2018,0,0,0,0,1,0,0,1
27,20.7,56.6,4,20.6,0.0,3130000,3253.706565,2007.602515,1246.104051,667.7344835,890.3126447,445.1563224,222.5781612,690.7631022,276.3052409,276.3052409,138.1526204,2,28,1,2018,0,0,0,0,1,0,0,1
28,20.6,59.1,4,20.8,0.0,3130000,3157.173648,1835.713382,1321.460266,610.5141074,814.0188098,407.0094049,203.5047025,732.4764877,292.9905951,292.9905951,146.4952975,2,29,1,2018,0,0,0,0,1,0,0,1
29,21.0,53.3,4,21.1,0.0,3130000,3229.36481,2029.055797,1200.309013,674.7603868,899.6805158,449.8402579,224.9201289,665.269182,266.1076728,266.1076728,133.0538364,2,30,1,2018,0,0,0,0,1,0,0,1
30,20.7,47.9,4,21.4,0.0,3130000,3410.611032,1915.943699,1494.667333,637.0933815,849.457842,424.728921,212.3644605,828.3495541,331.3398217,331.3398217,165.6699108,2,31,1,2018,0,0,0,0,1,0,0,1
31,20.5,48.0,4,21.4,0.0,3130000,3402.09627,2149.590022,1252.506248,714.7279281,952.9705708,476.4852854,238.2426427,694.0867685,277.6347074,277.6347074,138.8173537,2,1,2,2018,0,0,0,0,1,0,0,1
32,20.9,50.0,4,21.4,0.0,3130000,3303.295752,2085.435391,1217.860361,693.3405838,924.4541117,462.2270559,231.1135279,674.832713,269.9330852,269.9330852,134.9665426,2,2,2,2018,0,0,0,0,1,0,0,1
33,21.6,51.7,4,21.2,0.0,3130000,3214.1639,2067.89607,1146.26783,687.4535522,916.6047363,458.3023681,229.1511841,635.1108124,254.044325,254.044325,127.0221625,2,3,2,2018,0,0,0,0,1,0,0,1
34,22.4,53.9,4,21.1,0.0,3130000,3209.537723,2011.381508,1198.156215,668.6115567,891.4820755,445.7410378,222.8705189,663.8066826,265.522673,265.522673,132.7613365,2,4,2,2018,0,0,0,0,1,0,0,1
35,22.3,55.0,4,21.1,0.0,3130000,3158.96706,1864.355847,1294.611213,619.6878923,826.2505231,413.1252615,206.5626308,717.1868462,286.8747385,286.8747385,143.4373692,2,5,2,2018,0,0,0,0,1,0,0,1
36,21.4,52.0,4,18.6,0.0,3130000,3230.77051,1983.770086,1247.000424,659.3261756,879.1015674,439.5507837,219.7753919,690.7554677,276.3021871,276.3021871,138.1510935,2,6,2,2018,0,0,0,0,1,0,0,1
37,21.6,58.1,4,11.7,0.0,3130000,3269.84719,1942.774071,1327.073118,645.648373,860.8644973,430.4322486,215.2161243,735.0508158,294.0203263,294.0203263,147.0101632,2,7,2,2018,0,0,0,0,1,0,0,1
38,21.2,56.4,4,21.5,0.0,3130000,3334.39445,2093.337424,1241.057026,695.629169,927.5055587,463.7527793,231.8763897,687.3517364,274.9406946,274.9406946,137.4703473,2,8,2,2018,0,0,0,0,1,0,0,1
39,20.7,57.1,4,21.5,0.0,3130000,3159.991867,1945.676309,1214.315558,646.5080324,862.0107098,431.0053549,215.5026775,672.4866127,268.9946451,268.9946451,134.4973225,2,9,2,2018,0,0,0,0,1,0,0,1
40,20.5,50.2,4,18.3,0.0,3130000,3234.100115,1995.189438,1238.910677,662.906476,883.8753014,441.9376507,220.9688253,686.0517395,274.4206958,274.4206958,137.2103479,2,10,2,2018,0,0,0,0,1,0,0,1
41,21.2,57.8,4,19.9,0.1,3130000,3333.895538,2124.011323,1209.884215,705.6506488,940.8675318,470.4337659,235.2168829,669.9239094,267.9695638,267.9695638,133.9847819,2,11,2,2018,0,0,0,0,1,0,0,1
42,20.6,62.4,4,20.5,0.0,3130000,3277.019185,1974.592704,1302.426481,655.9568045,874.6090726,437.3045363,218.6522682,721.1069495,288.4427798,288.4427798,144.2213899,2,12,2,2018,0,0,0,0,1,0,0,1
43,20.8,56.2,4,22.2,0.0,3130000,3257.426821,2026.096505,1231.330316,673.0117397,897.3489863,448.6744931,224.3372466,681.6882907,272.6753163,272.6753163,136.3376581,2,13,2,2018,0,0,0,0,1,0,0,1
44,21.8,63.9,4,19.7,0.0,3130000,3284.064393,1963.534903,1320.529491,652.1776921,869.5702561,434.7851281,217.392564,731.0114311,292.4045724,292.4045724,146.2022862,2,14,2,2018,0,0,0,0,1,0,0,1
45,23.5,59.4,4,20.2,0.0,3130000,3386.341953,2103.926085,1282.415868,698.7512484,931.6683311,465.8341656,232.9170828,709.8551727,283.9420691,283.9420691,141.9710345,2,15,2,2018,0,0,0,0,1,0,0,1
46,23.3,60.3,4,17.8,0.0,3130000,3368.432931,1977.535431,1390.897501,656.7214466,875.6285955,437.8142977,218.9071489,769.8405844,307.9362338,307.9362338,153.9681169,2,16,2,2018,0,0,0,0,1,0,0,1
47,23.5,55.1,4,22.5,0.0,3130000,3219.550925,2057.486873,1162.064052,683.2172286,910.9563049,455.4781524,227.7390762,643.1326416,257.2530567,257.2530567,128.6265283,2,17,2,2018,0,0,0,0,1,0,0,1
48,23.5,51.5,4,22.5,0.0,3130000,3354.940107,2028.152106,1326.788,673.4216465,897.8955287,448.9477643,224.4738822,734.2379606,293.6951842,293.6951842,146.8475921,2,18,2,2018,0,0,0,0,1,0,0,1
49,23.9,47.0,4,22.2,0.0,3130000,3261.096647,1850.628706,1410.467941,614.4275206,819.2366941,409.618347,204.8091735,780.4827955,312.1931182,312.1931182,156.0965591,2,19,2,2018,0,0,0,0,1,0,0,1
50,24.2,45.7,4,22.1,0.0,3130000,3271.692383,1883.475523,1388.21686,625.2823425,833.70979,416.854895,208.4274475,768.1079289,307.2431716,307.2431716,153.6215858,2,20,2,2018,0,0,0,0,1,0,0,1
51,24.0,49.9,4,19.6,0.0,3130000,3239.947282,1996.979009,1242.968274,662.909901,883.879868,441.939934,220.969967,687.6853918,275.0741567,275.0741567,137.5370784,2,21,2,2018,0,0,0,0,1,0,0,1
52,24.3,53.1,4,19.1,0.0,3130000,3476.042525,1962.546552,1513.495973,651.4270635,868.5694179,434.284709,217.1423545,837.2898947,334.9159579,334.9159579,167.4579789,2,22,2,2018,0,0,0,0,1,0,0,1
53,24.9,55.6,4,19.0,0.0,3130000,3545.613838,2045.785047,1499.828791,679.0013807,905.3351743,452.6675872,226.3337936,829.6617981,331.8647192,331.8647192,165.9323596,2,23,2,2018,0,0,0,0,1,0,0,1
54,25.1,54.7,4,20.5,0.0,3130000,3345.29194,2144.083339,1201.208601,711.5692137,948.7589516,474.3794758,237.1897379,664.4199596,265.7679839,265.7679839,132.8839919,2,24,2,2018,0,0,0,0,1,0,0,1
55,24.4,51.4,4,23.5,0.0,3130000,3177.222753,1958.753909,1218.468844,650.0102378,866.6803171,433.3401585,216.6700793,673.9124804,269.5649922,269.5649922,134.7824961,2,25,2,2018,0,0,0,0,1,0,0,1
56,24.4,44.8,4,23.7,0.0,3130000,3328.33346,1896.423797,1431.909663,629.2751082,839.0334776,419.5167388,209.7583694,791.8985104,316.7594042,316.7594042,158.3797021,2,26,2,2018,0,0,0,0,1,0,0,1
57,24.7,43.4,4,23.6,0.0,3130000,3306.576107,1874.574711,1432.001396,621.9747428,829.2996571,414.6498286,207.3249143,791.8851274,316.754051,316.754051,158.3770255,2,27,2,2018,0,0,0,0,1,0,0,1
58,25.1,42.7,4,23.8,0.0,3130000,3499.966288,2265.981221,1233.985067,751.7806501,1002.3742,501.1871001,250.59355,682.328467,272.9313868,272.9313868,136.4656934,2,28,2,2018,0,0,0,0,1,0,0,1
59,25.9,43.0,3,23.8,0.0,3130000,4229.108556,2423.434979,1805.673577,602.9652959,803.9537278,401.9768639,200.988432,748.7708649,299.5083459,299.5083459,149.754173,2,1,3,2018,0,0,0,1,0,0,0,1
60,26.1,47.2,3,22.9,0.0,3130000,4220.496137,2614.185756,1606.310381,650.3725995,867.163466,433.581733,216.7908665,666.0456675,266.418267,266.418267,133.2091335,2,2,3,2018,0,0,0,1,0,0,0,1
61,26.1,53.5,3,18.8,0.0,3130000,4498.7941,2524.670986,1974.123114,628.0517517,837.4023356,418.7011678,209.3505839,818.4904663,327.3961865,327.3961865,163.6980933,2,3,3,2018,0,0,0,1,0,0,0,1
62,25.9,63.3,3,19.9,0.0,3130000,4221.179341,2688.987495,1532.191847,668.8739428,891.8319238,445.9159619,222.9579809,635.2100953,254.0840381,254.0840381,127.0420191,2,4,3,2018,0,0,0,1,0,0,0,1
63,25.8,58.3,3,20.4,0.0,3130000,4541.631106,2838.577186,1703.05392,706.026592,941.3687893,470.6843947,235.3421973,705.988292,282.3953168,282.3953168,141.1976584,2,5,3,2018,0,0,0,1,0,0,0,1
64,26.0,49.6,3,20.6,0.0,3130000,4490.95557,2787.547005,1703.408565,693.2779841,924.3706455,462.1853227,231.0926614,706.078172,282.4312688,282.4312688,141.2156344,2,6,3,2018,0,0,0,1,0,0,0,1
65,26.4,52.9,3,19.8,0.0,3130000,4246.309831,2606.812572,1639.497259,648.2759016,864.3678687,432.1839344,216.0919672,679.531378,271.8125512,271.8125512,135.9062756,2,7,3,2018,0,0,0,1,0,0,0,1
66,25.9,56.4,3,22.0,0.0,3130000,4410.695727,2516.081712,1894.614015,625.6618527,834.2158036,417.1079018,208.5539509,785.2074844,314.0829938,314.0829938,157.0414969,2,8,3,2018,0,0,0,1,0,0,0,1
67,26.2,52.2,3,21.7,0.0,3130000,4276.64691,2420.362616,1856.284294,601.8111625,802.4148834,401.2074417,200.6037208,769.2598081,307.7039232,307.7039232,153.8519616,2,9,3,2018,0,0,0,1,0,0,0,1
68,26.5,50.2,3,21.9,0.0,3130000,4388.285419,2682.341902,1705.943517,666.8970656,889.1960875,444.5980437,222.2990219,706.9001436,282.7600574,282.7600574,141.3800287,2,10,3,2018,0,0,0,1,0,0,0,1
69,27.5,44.6,3,21.6,0.0,3130000,4364.543054,2713.927723,1650.615331,674.6955142,899.5940189,449.7970094,224.8985047,683.9182134,273.5672854,273.5672854,136.7836427,2,11,3,2018,0,0,0,1,0,0,0,1
70,26.5,41.2,3,20.9,0.0,3130000,4376.156228,2834.406751,1541.749477,704.5901942,939.4535923,469.7267962,234.8633981,638.7589237,255.5035695,255.5035695,127.7517847,2,12,3,2018,0,0,0,1,0,0,0,1
71,26.9,42.5,3,20.0,0.0,3130000,4373.463713,2613.424241,1760.039472,649.6047841,866.1397122,433.0698561,216.534928,729.1392161,291.6556864,291.6556864,145.8278432,2,13,3,2018,0,0,0,1,0,0,0,1
72,27.0,37.2,3,18.9,0.0,3130000,4378.848828,2819.584901,1559.263927,700.7923578,934.3898104,467.1949052,233.5974526,645.9108241,258.3643296,258.3643296,129.1821648,2,14,3,2018,0,0,0,1,0,0,0,1
73,25.3,36.5,3,5.6,0.0,3130000,4224.936966,2426.651179,1798.285788,603.0820715,804.1094287,402.0547143,201.0273572,744.8632142,297.9452857,297.9452857,148.9726428,2,15,3,2018,0,0,0,1,0,0,0,1
74,24.3,48.6,3,15.9,0.1,3130000,4652.195172,2772.258575,1879.936598,688.9182467,918.5576623,459.2788312,229.6394156,778.6206264,311.4482506,311.4482506,155.7241253,2,16,3,2018,0,0,0,1,0,0,0,1
75,25.0,54.7,3,17.8,0.0,3130000,4674.35888,2734.598978,1939.759901,679.504738,906.0063174,453.0031587,226.5015793,803.3329287,321.3331715,321.3331715,160.6665857,2,17,3,2018,0,0,0,1,0,0,0,1
76,25.4,60.1,3,18.4,5.0,3130000,4616.237173,2930.588204,1685.648969,728.1461072,970.8614763,485.4307382,242.7153691,698.0388972,279.2155589,279.2155589,139.6077794,2,18,3,2018,0,0,0,1,0,0,0,1
77,26.2,59.5,3,22.5,0.1,3130000,4546.370656,2715.670994,1830.699662,674.692347,899.589796,449.794898,224.897449,758.0441167,303.2176467,303.2176467,151.6088233,2,19,3,2018,0,0,0,1,0,0,0,1
78,25.9,50.8,3,25.5,0.0,3130000,4659.434015,2828.998032,1830.435982,702.7909724,937.0546298,468.5273149,234.2636575,757.8736767,303.1494707,303.1494707,151.5747353,2,20,3,2018,0,0,0,1,0,0,0,1
79,25.2,51.0,3,25.9,0.0,3130000,4424.362589,2804.488971,1619.873618,696.64603,928.8613733,464.4306867,232.2153433,670.6382379,268.2552952,268.2552952,134.1276476,2,21,3,2018,0,0,0,1,0,0,0,1
80,24.3,45.9,3,26.7,0.0,3130000,4519.633114,2892.155902,1627.477212,718.3647841,957.8197121,478.9098561,239.454928,673.7317281,269.4926912,269.4926912,134.7463456,2,22,3,2018,0,0,0,1,0,0,0,1
81,24.1,50.0,3,26.6,0.0,3130000,4477.666924,2573.600047,1904.066877,639.1890064,852.2520086,426.1260043,213.0630021,788.1687088,315.2674835,315.2674835,157.6337418,2,23,3,2018,0,0,0,1,0,0,0,1
82,25.6,54.0,3,26.3,0.0,3130000,5086.686985,2914.180262,2172.506723,723.7183147,964.957753,482.4788765,241.2394382,899.2139372,359.6855749,359.6855749,179.8427874,2,24,3,2018,0,0,0,1,0,0,0,1
83,26.7,44.5,3,26.1,0.0,3130000,4313.023556,2551.190919,1761.832637,633.5210119,844.6946826,422.3473413,211.1736706,729.1744854,291.6697942,291.6697942,145.8348971,2,25,3,2018,0,0,0,1,0,0,0,1
84,27.7,41.3,3,25.7,0.0,3130000,4412.306987,2629.683456,1782.623531,652.9598129,870.6130838,435.3065419,217.653271,737.7196701,295.087868,295.087868,147.543934,2,26,3,2018,0,0,0,1,0,0,0,1
85,28.3,48.9,3,25.9,0.0,3130000,4396.272807,2688.136084,1708.136724,667.4198939,889.8931919,444.9465959,222.473298,706.8370025,282.734801,282.734801,141.3674005,2,27,3,2018,0,0,0,1,0,0,0,1
86,27.1,54.7,3,25.9,0.0,3130000,4661.591814,2925.598363,1735.993451,726.3191963,968.425595,484.2127975,242.1063988,718.3062583,287.3225033,287.3225033,143.6612517,2,28,3,2018,0,0,0,1,0,0,0,1
87,27.1,52.2,3,25.6,0.0,3130000,4599.735474,2669.577991,1930.157484,662.7051646,883.6068862,441.8034431,220.9017215,798.5814846,319.4325939,319.4325939,159.7162969,2,29,3,2018,0,0,0,1,0,0,0,1
88,27.0,51.5,3,26.5,0.0,3130000,4617.038043,2980.078065,1636.959977,739.7250225,986.30003,493.150015,246.5750075,677.2195389,270.8878156,270.8878156,135.4439078,2,30,3,2018,0,0,0,1,0,0,0,1
89,27.1,53.6,3,26.2,0.0,3130000,4761.146639,2995.849816,1765.296824,743.5798911,991.4398548,495.7199274,247.8599637,730.2542409,292.1016964,292.1016964,146.0508482,2,31,3,2018,0,0,0,1,0,0,0,1
90,27.0,51.4,3,26.8,0.0,3130000,4330.454634,2467.726722,1862.727912,612.4485274,816.5980365,408.2990183,204.1495091,770.4965576,308.1986231,308.1986231,154.0993115,2,1,4,2018,0,0,0,1,0,0,0,1
91,27.9,49.2,3,24.1,0.0,3130000,4459.746759,2651.631348,1808.115411,658.0374501,877.3832668,438.6916334,219.3458167,747.8463245,299.1385298,299.1385298,149.5692649,2,2,4,2018,0,0,0,1,0,0,0,1
92,27.8,48.7,3,25.4,0.0,3130000,4510.501529,2568.230193,1942.271336,637.2888961,849.7185281,424.8592641,212.429632,803.2690885,321.3076354,321.3076354,160.6538177,2,3,4,2018,0,0,0,1,0,0,0,1
93,28.3,53.2,3,24.8,0.0,3130000,4605.742284,2772.619729,1833.122555,687.9512344,917.2683125,458.6341563,229.3170781,758.0670075,303.226803,303.226803,151.6134015,2,4,4,2018,0,0,0,1,0,0,0,1
94,28.5,51.3,3,24.5,0.0,3130000,4721.091413,2837.883724,1883.207689,704.0879084,938.7838779,469.3919389,234.6959695,778.7162852,311.4865141,311.4865141,155.743257,2,5,4,2018,0,0,0,1,0,0,0,1
95,27.3,51.2,3,18.3,0.1,3130000,4650.87663,2907.43547,1743.441161,721.2856961,961.7142615,480.8571308,240.4285654,720.8639047,288.3455619,288.3455619,144.1727809,2,6,4,2018,0,0,0,1,0,0,0,1
96,28.1,50.9,3,24.0,2.6,3130000,4683.778248,2746.885674,1936.892573,681.4010041,908.5346721,454.2673361,227.133668,800.7859935,320.3143974,320.3143974,160.1571987,2,7,4,2018,0,0,0,1,0,0,0,1
97,27.2,49.4,3,24.6,1.3,3130000,4461.118512,2579.291589,1881.826923,639.7754618,853.0339491,426.5169745,213.2584873,777.9569486,311.1827794,311.1827794,155.5913897,2,8,4,2018,0,0,0,1,0,0,0,1
98,27.3,41.3,3,23.7,0.0,3130000,4663.232533,2799.356746,1863.875787,694.3050753,925.7401004,462.8700502,231.4350251,770.4736814,308.1894726,308.1894726,154.0947363,2,9,4,2018,0,0,0,1,0,0,0,1
99,27.6,41.7,3,23.4,0.0,3130000,4270.904839,2629.268482,1641.636356,652.0666449,869.4221932,434.7110966,217.3555483,678.5514161,271.4205664,271.4205664,135.7102832,2,10,4,2018,0,0,0,1,0,0,0,1
100,27.2,50.5,3,23.4,0.0,3130000,4910.961485,3054.402661,1856.558824,757.4401113,1009.920148,504.9600742,252.4800371,767.3252232,306.9300893,306.9300893,153.4650446,2,11,4,2018,0,0,0,1,0,0,0,1
101,27.6,53.2,3,25.8,0.0,3130000,4614.877567,2920.325933,1694.551633,724.132933,965.5105774,482.7552887,241.3776443,700.3103263,280.1241305,280.1241305,140.0620653,2,12,4,2018,0,0,0,1,0,0,0,1
102,28.1,51.8,3,26.4,0.0,3130000,4558.107193,2836.857735,1721.249458,703.3791612,937.8388816,468.9194408,234.4597204,711.2864028,284.5145611,284.5145611,142.2572806,2,13,4,2018,0,0,0,1,0,0,0,1
103,28.5,46.7,3,26.4,0.0,3130000,4616.43666,2824.184477,1792.252183,700.1804352,933.5739136,466.7869568,233.3934784,740.567719,296.2270876,296.2270876,148.1135438,2,14,4,2018,0,0,0,1,0,0,0,1
104,28.4,55.5,3,23.0,0.1,3130000,4536.30593,2797.535759,1738.770171,693.5176659,924.6902211,462.3451106,231.1725553,718.410734,287.3642936,287.3642936,143.6821468,2,15,4,2018,0,0,0,1,0,0,0,1
105,29.2,55.4,3,23.8,0.0,3130000,4285.515017,2688.06044,1597.454577,666.3246596,888.4328794,444.2164397,222.1082199,659.9698932,263.9879573,263.9879573,131.9939786,2,16,4,2018,0,0,0,1,0,0,0,1
106,29.1,62.3,3,21.8,0.8,3130000,4671.826179,2698.656926,1973.169253,668.8974056,891.8632075,445.9316037,222.9658019,815.1263325,326.050533,326.050533,163.0252665,2,17,4,2018,0,0,0,1,0,0,0,1
107,28.8,62.0,3,23.0,2.9,3130000,4628.894009,2715.032949,1913.861059,672.9021552,897.2028736,448.6014368,224.3007184,790.562064,316.2248256,316.2248256,158.1124128,2,18,4,2018,0,0,0,1,0,0,0,1
108,29.9,46.4,3,27.0,0.0,3130000,4837.194737,2826.022074,2011.172663,700.3535717,933.8047622,466.9023811,233.4511906,830.6917644,332.2767058,332.2767058,166.1383529,2,19,4,2018,0,0,0,1,0,0,0,1
