Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Day,Month,Year,Season_Autumn,Season_Monsoon,Season_Post-Monsoon,Season_Summer,Season_Winter,Period_Lockdown,Period_Post-lockdown,Period_Pre-lockdown
01-01-2018,19.4,62.6,Winter,18.6,0,3130000,2870,1809.828298,1060.171702,723.9313194,723.9313194,271.4742448,90.49141492,530.0858508,318.0515105,159.0257552,53.00858508,Pre-lockdown,1,1,2018,0,0,0,0,1,0,0,1
02-01-2018,19.4,64,Winter,18.7,0,3130000,2875,1842.823872,1032.176128,737.129549,737.129549,276.4235809,92.14119362,516.0880638,309.6528383,154.8264191,51.60880638,Pre-lockdown,2,1,2018,0,0,0,0,1,0,0,1
03-01-2018,19.5,66.6,Winter,18.8,0,3130000,2890,1865.374126,1024.625874,746.1496504,746.1496504,279.8061189,93.2687063,512.312937,307.3877622,153.6938811,51.2312937,Pre-lockdown,3,1,2018,0,0,0,0,1,0,0,1
04-01-2018,20.1,66.6,Winter,18.4,0,3130000,2930,1788.046516,1141.953484,715.2186065,715.2186065,268.2069775,89.40232582,570.9767418,342.5860451,171.2930225,57.09767418,Pre-lockdown,4,1,2018,0,0,0,0,1,0,0,1
05-01-2018,20,66.7,Winter,17.5,0,3130000,2875,1911.868729,963.1312706,764.7474918,764.7474918,286.7803094,95.59343647,481.5656353,288.9393812,144.4696906,48.15656353,Pre-lockdown,5,1,2018,0,0,0,0,1,0,0,1
06-01-2018,19.8,62.6,Winter,18.3,0,3130000,2895,1901.668416,993.3315837,760.6673665,760.6673665,285.2502625,95.08342082,496.6657918,297.9994751,148.9997375,49.66657918,Pre-lockdown,6,1,2018,0,0,0,0,1,0,0,1
07-01-2018,19,63.2,Winter,18.9,0,3130000,2845,1757.899515,1087.100485,703.159806,703.159806,263.6849272,87.89497575,543.5502425,326.1301455,163.0650728,54.35502425,Pre-lockdown,7,1,2018,0,0,0,0,1,0,0,1
08-01-2018,19,63.3,Winter,18.9,0,3130000,2845,1888.432794,956.5672061,755.3731175,755.3731175,283.2649191,94.42163969,478.2836031,286.9701618,143.4850809,47.82836031,Pre-lockdown,8,1,2018,0,0,0,0,1,0,0,1
09-01-2018,19.2,64.8,Winter,18.9,0,3130000,2865,1988.19345,876.8065497,795.2773801,795.2773801,298.2290176,99.40967252,438.4032748,263.0419649,131.5209824,43.84032748,Pre-lockdown,9,1,2018,0,0,0,0,1,0,0,1
10-01-2018,20,65.3,Winter,18.4,0,3130000,2920,1987.156174,932.8438263,794.8624695,794.8624695,298.0734261,99.35780869,466.4219131,279.8531479,139.9265739,46.64219131,Pre-lockdown,10,1,2018,0,0,0,0,1,0,0,1
11-01-2018,21.8,64.3,Winter,16.6,0,3130000,3010,1839.598909,1170.401091,735.8395635,735.8395635,275.9398363,91.97994543,585.2005457,351.1203274,175.5601637,58.52005457,Pre-lockdown,11,1,2018,0,0,0,0,1,0,0,1
12-01-2018,23,64.7,Winter,15.3,0,3130000,3065,2049.549786,1015.450214,819.8199142,819.8199142,307.4324678,102.4774893,507.7251072,304.6350643,152.3175322,50.77251072,Pre-lockdown,12,1,2018,0,0,0,0,1,0,0,1
13-01-2018,22.8,68,Winter,15.7,0,3130000,3065,1983.135457,1081.864543,793.2541827,793.2541827,297.4703185,99.15677284,540.9322716,324.559363,162.2796815,54.09322716,Pre-lockdown,13,1,2018,0,0,0,0,1,0,0,1
14-01-2018,23,66.2,Winter,14.5,0,3130000,3025,2007.545856,1017.454144,803.0183425,803.0183425,301.1318784,100.3772928,508.7270719,305.2362432,152.6181216,50.87270719,Pre-lockdown,14,1,2018,0,0,0,0,1,0,0,1
15-01-2018,23.1,68.3,Winter,14.3,0,3130000,3025,2021.092058,1003.907942,808.4368231,808.4368231,303.1638087,101.0546029,501.9539711,301.1723827,150.5861913,50.19539711,Pre-lockdown,15,1,2018,0,0,0,0,1,0,0,1
16-01-2018,23.3,65.1,Winter,15.6,0,3130000,3110,2152.435847,957.5641534,860.9743386,860.9743386,322.865377,107.6217923,478.7820767,287.269246,143.634623,47.87820767,Pre-lockdown,16,1,2018,0,0,0,0,1,0,0,1
17-01-2018,22.6,54.8,Winter,18.4,0,3130000,3180,2051.384069,1128.615931,820.5536274,820.5536274,307.7076103,102.5692034,564.3079657,338.5847794,169.2923897,56.43079657,Pre-lockdown,17,1,2018,0,0,0,0,1,0,0,1
18-01-2018,21.3,58.7,Winter,18.8,0,3130000,3070,1971.291963,1098.708037,788.5167854,788.5167854,295.6937945,98.56459817,549.3540183,329.612411,164.8062055,54.93540183,Pre-lockdown,18,1,2018,0,0,0,0,1,0,0,1
19-01-2018,21,57.6,Winter,19.2,0,3130000,3060,1859.269406,1200.730594,743.7077623,743.7077623,278.8904109,92.96347029,600.3652971,360.2191783,180.1095891,60.03652971,Pre-lockdown,19,1,2018,0,0,0,0,1,0,0,1
20-01-2018,20.6,56.6,Winter,20.2,0,3130000,3070,1906.577149,1163.422851,762.6308596,762.6308596,285.9865724,95.32885745,581.7114255,349.0268553,174.5134276,58.17114255,Pre-lockdown,20,1,2018,0,0,0,0,1,0,0,1
21-01-2018,20.2,55.8,Winter,20.3,0,3130000,2940,2013.979529,926.0204712,805.5918115,805.5918115,302.0969293,100.6989764,463.0102356,277.8061414,138.9030707,46.30102356,Pre-lockdown,21,1,2018,0,0,0,0,1,0,0,1
22-01-2018,20.7,57.8,Winter,20.1,0,3130000,2940.687802,2018.097814,922.5899875,807.2391257,807.2391257,302.7146721,100.9048907,461.2949937,276.7769962,138.3884981,46.12949937,Pre-lockdown,22,1,2018,0,0,0,0,1,0,0,1
23-01-2018,20.5,65.4,Winter,20.1,50,3130000,2941.375603,1901.882078,1039.493526,760.7528311,760.7528311,285.2823117,95.09410389,519.7467628,311.8480577,155.9240288,51.97467628,Pre-lockdown,23,1,2018,0,0,0,0,1,0,0,1
24-01-2018,19.2,68.1,Winter,20.4,0,3130000,2942.063405,2028.554273,913.5091324,811.421709,811.421709,304.2831409,101.4277136,456.7545662,274.0527397,137.0263699,45.67545662,Pre-lockdown,24,1,2018,0,0,0,0,1,0,0,1
25-01-2018,19.3,59.5,Winter,20.6,0,3130000,2942.751207,1903.760111,1038.991095,761.5040445,761.5040445,285.5640167,95.18800557,519.4955477,311.6973286,155.8486643,51.94955477,Pre-lockdown,25,1,2018,0,0,0,0,1,0,0,1
26-01-2018,19.5,56.6,Winter,20.9,0,3130000,2943.439008,1770.161494,1173.277515,708.0645974,708.0645974,265.524224,88.50807468,586.6387574,351.9832544,175.9916272,58.66387574,Pre-lockdown,26,1,2018,0,0,0,0,1,0,0,1
27-01-2018,19.8,57.2,Winter,20.8,0,3130000,2944.12681,2014.030833,930.0959768,805.6123333,805.6123333,302.104625,100.7015417,465.0479884,279.028793,139.5143965,46.50479884,Pre-lockdown,27,1,2018,0,0,0,0,1,0,0,1
28-01-2018,20.7,56.6,Winter,20.6,0,3130000,2944.814612,1996.725635,948.0889762,798.6902542,798.6902542,299.5088453,99.83628177,474.0444881,284.4266929,142.2133464,47.40444881,Pre-lockdown,28,1,2018,0,0,0,0,1,0,0,1
29-01-2018,20.6,59.1,Winter,20.8,0,3130000,2945.502413,1850.48924,1095.013173,740.195696,740.195696,277.573386,92.524462,547.5065867,328.503952,164.251976,54.75065867,Pre-lockdown,29,1,2018,0,0,0,0,1,0,0,1
30-01-2018,21,53.3,Winter,21.1,0,3130000,2946.190215,2022.108874,924.0813412,808.8435495,808.8435495,303.3163311,101.1054437,462.0406706,277.2244024,138.6122012,46.20406706,Pre-lockdown,30,1,2018,0,0,0,0,1,0,0,1
31-01-2018,20.7,47.9,Winter,21.4,0,3130000,2946.878017,1919.969198,1026.908818,767.9876793,767.9876793,287.9953797,95.99845991,513.4544092,308.0726455,154.0363228,51.34544092,Pre-lockdown,31,1,2018,0,0,0,0,1,0,0,1
