Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Day,Month,Year,Season_Autumn,Season_Monsoon,Season_Post-Monsoon,Season_Summer,Season_Winter,Period_Lockdown,Period_Post-lockdown,Period_Pre-lockdown
01-01-2018,19.4,62.6,Winter,18.6,0,3130000,3569.072637,2425.254067,1143.818569,848.8389236,970.101627,363.7881101,242.5254067,571.9092847,343.1455708,171.5727854,57.19092847,Pre-lockdown,1,1,2018,0,0,0,0,1,0,0,1
02-01-2018,19.4,64,Winter,18.7,0,3130000,3575.290533,2366.573566,1208.716968,828.300748,946.6294263,354.9860349,236.6573566,604.3584838,362.6150903,181.3075452,60.43584838,Pre-lockdown,2,1,2018,0,0,0,0,1,0,0,1
03-01-2018,19.5,66.6,Winter,18.8,0,3130000,3593.944223,2504.316988,1089.627235,876.5109459,1001.726795,375.6475483,250.4316988,544.8136174,326.8881704,163.4440852,54.48136174,Pre-lockdown,3,1,2018,0,0,0,0,1,0,0,1
04-01-2018,20.1,66.6,Winter,18.4,0,3130000,3643.687396,2543.416515,1100.27088,890.1957804,1017.366606,381.5124773,254.3416515,550.1354402,330.0812641,165.0406321,55.01354402,Pre-lockdown,4,1,2018,0,0,0,0,1,0,0,1
05-01-2018,20,66.7,Winter,17.5,0,3130000,3575.290533,2392.956474,1182.33406,837.5347659,957.1825895,358.9434711,239.2956474,591.1670298,354.7002179,177.3501089,59.11670298,Pre-lockdown,5,1,2018,0,0,0,0,1,0,0,1
06-01-2018,19.8,62.6,Winter,18.3,0,3130000,3600.16212,2460.964648,1139.197472,861.3376268,984.3858592,369.1446972,246.0964648,569.5987359,341.7592415,170.8796208,56.95987359,Pre-lockdown,6,1,2018,0,0,0,0,1,0,0,1
07-01-2018,19,63.2,Winter,18.9,0,3130000,3537.983154,2437.792072,1100.191082,853.2272253,975.116829,365.6688109,243.7792072,550.0955408,330.0573245,165.0286622,55.00955408,Pre-lockdown,7,1,2018,0,0,0,0,1,0,0,1
08-01-2018,19,63.3,Winter,18.9,0,3130000,3537.983154,2389.940415,1148.042739,836.4791453,955.976166,358.4910623,238.9940415,574.0213694,344.4128217,172.2064108,57.40213694,Pre-lockdown,8,1,2018,0,0,0,0,1,0,0,1
09-01-2018,19.2,64.8,Winter,18.9,0,3130000,3562.85474,2319.931069,1242.923671,811.9758742,927.9724277,347.9896604,231.9931069,621.4618355,372.8771013,186.4385507,62.14618355,Pre-lockdown,9,1,2018,0,0,0,0,1,0,0,1
10-01-2018,20,65.3,Winter,18.4,0,3130000,3631.251603,2405.198547,1226.053056,841.8194914,962.0794188,360.779782,240.5198547,613.0265278,367.8159167,183.9079584,61.30265278,Pre-lockdown,10,1,2018,0,0,0,0,1,0,0,1
11-01-2018,21.8,64.3,Winter,16.6,0,3130000,3743.173741,2478.948628,1264.225113,867.6320199,991.5794513,371.8422942,247.8948628,632.1125565,379.2675339,189.6337669,63.21125565,Pre-lockdown,11,1,2018,0,0,0,0,1,0,0,1
12-01-2018,23,64.7,Winter,15.3,0,3130000,3811.570603,2633.60228,1177.968323,921.760798,1053.440912,395.040342,263.360228,588.9841617,353.390497,176.6952485,58.89841617,Pre-lockdown,12,1,2018,0,0,0,0,1,0,0,1
13-01-2018,22.8,68,Winter,15.7,0,3130000,3811.570603,2642.189545,1169.381058,924.7663408,1056.875818,396.3284318,264.2189545,584.6905292,350.8143175,175.4071587,58.46905292,Pre-lockdown,13,1,2018,0,0,0,0,1,0,0,1
14-01-2018,23,66.2,Winter,14.5,0,3130000,3761.827431,2630.216869,1131.610562,920.575904,1052.086747,394.5325303,263.0216869,565.8052811,339.4831686,169.7415843,56.58052811,Pre-lockdown,14,1,2018,0,0,0,0,1,0,0,1
15-01-2018,23.1,68.3,Winter,14.3,0,3130000,3761.827431,2582.187715,1179.639715,903.7657004,1032.875086,387.3281573,258.2187715,589.8198577,353.8919146,176.9459573,58.98198577,Pre-lockdown,15,1,2018,0,0,0,0,1,0,0,1
16-01-2018,23.3,65.1,Winter,15.6,0,3130000,3867.531673,2538.904514,1328.627159,888.6165798,1015.561806,380.8356771,253.8904514,664.3135794,398.5881477,199.2940738,66.43135794,Pre-lockdown,16,1,2018,0,0,0,0,1,0,0,1
17-01-2018,22.6,54.8,Winter,18.4,0,3130000,3954.582225,2759.527041,1195.055184,965.8344643,1103.810816,413.9290561,275.9527041,597.527592,358.5165552,179.2582776,59.7527592,Pre-lockdown,17,1,2018,0,0,0,0,1,0,0,1
18-01-2018,21.3,58.7,Winter,18.8,0,3130000,3817.7885,2606.950665,1210.837835,912.4327328,1042.780266,391.0425998,260.6950665,605.4189174,363.2513505,181.6256752,60.54189174,Pre-lockdown,18,1,2018,0,0,0,0,1,0,0,1
19-01-2018,21,57.6,Winter,19.2,0,3130000,3805.352707,2601.259611,1204.093096,910.4408637,1040.503844,390.1889416,260.1259611,602.0465482,361.2279289,180.6139644,60.20465482,Pre-lockdown,19,1,2018,0,0,0,0,1,0,0,1
20-01-2018,20.6,56.6,Winter,20.2,0,3130000,3817.7885,2498.953714,1318.834787,874.6337997,999.5814854,374.843057,249.8953714,659.4173933,395.650436,197.825218,65.94173933,Pre-lockdown,20,1,2018,0,0,0,0,1,0,0,1
21-01-2018,20.2,55.8,Winter,20.3,0,3130000,3656.123189,2417.095281,1239.027908,845.9833484,966.8381125,362.5642922,241.7095281,619.5139539,371.7083723,185.8541862,61.95139539,Pre-lockdown,21,1,2018,0,0,0,0,1,0,0,1
22-01-2018,20.7,57.8,Winter,20.1,0,3130000,3656.978525,2536.290856,1120.68767,887.7017995,1014.516342,380.4436283,253.6290856,560.3438349,336.2063009,168.1031505,56.03438349,Pre-lockdown,22,1,2018,0,0,0,0,1,0,0,1
23-01-2018,20.5,65.4,Winter,20.1,50,3130000,3657.83386,2455.790347,1202.043514,859.5266213,982.3161387,368.368552,245.5790347,601.0217568,360.6130541,180.3065271,60.10217568,Pre-lockdown,23,1,2018,0,0,0,0,1,0,0,1
24-01-2018,19.2,68.1,Winter,20.4,0,3130000,3658.689197,2401.395451,1257.293746,840.4884079,960.5581804,360.2093177,240.1395451,628.6468728,377.1881237,188.5940618,62.86468728,Pre-lockdown,24,1,2018,0,0,0,0,1,0,0,1
25-01-2018,19.3,59.5,Winter,20.6,0,3130000,3659.544533,2383.152388,1276.392145,834.1033359,953.2609554,357.4728583,238.3152388,638.1960723,382.9176434,191.4588217,63.81960723,Pre-lockdown,25,1,2018,0,0,0,0,1,0,0,1
26-01-2018,19.5,56.6,Winter,20.9,0,3130000,3660.399868,2379.632041,1280.767827,832.8712143,951.8528163,356.9448061,237.9632041,640.3839137,384.2303482,192.1151741,64.03839137,Pre-lockdown,26,1,2018,0,0,0,0,1,0,0,1
27-01-2018,19.8,57.2,Winter,20.8,0,3130000,3661.255205,2429.957831,1231.297373,850.4852409,971.9831325,364.4936747,242.9957831,615.6486866,369.389212,184.694606,61.56486866,Pre-lockdown,27,1,2018,0,0,0,0,1,0,0,1
28-01-2018,20.7,56.6,Winter,20.6,0,3130000,3662.110541,2480.473239,1181.637301,868.1656338,992.1892958,372.0709859,248.0473239,590.8186507,354.4911904,177.2455952,59.08186507,Pre-lockdown,28,1,2018,0,0,0,0,1,0,0,1
29-01-2018,20.6,59.1,Winter,20.8,0,3130000,3662.965876,2449.712291,1213.253584,857.399302,979.8849166,367.4568437,244.9712291,606.6267922,363.9760753,181.9880377,60.66267922,Pre-lockdown,29,1,2018,0,0,0,0,1,0,0,1
30-01-2018,21,53.3,Winter,21.1,0,3130000,3663.821212,2441.349458,1222.471754,854.4723104,976.5397834,366.2024188,244.1349458,611.235877,366.7415262,183.3707631,61.1235877,Pre-lockdown,30,1,2018,0,0,0,0,1,0,0,1
31-01-2018,20.7,47.9,Winter,21.4,0,3130000,3664.676549,2529.971494,1134.705054,885.4900231,1011.988598,379.4957242,252.9971494,567.3525271,340.4115163,170.2057581,56.73525271,Pre-lockdown,31,1,2018,0,0,0,0,1,0,0,1
01-02-2018,20.5,48,Winter,21.4,0,3130000,3879.967466,2715.970021,1163.997445,950.5895075,1086.388009,407.3955032,271.5970021,581.9987223,349.1992334,174.5996167,58.19987223,Pre-lockdown,1,2,2018,0,0,0,0,1,0,0,1
02-02-2018,20.9,50,Winter,21.4,0,3130000,3929.710638,2653.84038,1275.870258,928.844133,1061.536152,398.076057,265.384038,637.9351292,382.7610775,191.3805388,63.79351292,Pre-lockdown,2,2,2018,0,0,0,0,1,0,0,1
03-02-2018,21.6,51.7,Winter,21.2,0,3130000,4004.325397,2761.211161,1243.114236,966.4239063,1104.484464,414.1816741,276.1211161,621.5571182,372.9342709,186.4671355,62.15571182,Pre-lockdown,3,2,2018,0,0,0,0,1,0,0,1
04-02-2018,22.4,53.9,Winter,21.1,0,3130000,4097.593846,2787.627892,1309.965954,975.6697621,1115.051157,418.1441838,278.7627892,654.9829772,392.9897863,196.4948931,65.49829772,Pre-lockdown,4,2,2018,0,0,0,0,1,0,0,1
05-02-2018,22.3,55,Winter,21.1,0,3130000,4085.158053,2822.414938,1262.743115,987.8452285,1128.965975,423.3622408,282.2414938,631.3715573,378.8229344,189.4114672,63.13715573,Pre-lockdown,5,2,2018,0,0,0,0,1,0,0,1
06-02-2018,21.4,52,Winter,18.6,0,3130000,3817.7885,2606.421117,1211.367383,912.2473909,1042.568447,390.9631675,260.6421117,605.6836916,363.410215,181.7051075,60.56836916,Pre-lockdown,6,2,2018,0,0,0,0,1,0,0,1
07-02-2018,21.6,58.1,Winter,11.7,0,3130000,3413.625222,2270.839226,1142.785996,794.7937291,908.3356904,340.6258839,227.0839226,571.3929981,342.8357989,171.4178994,57.13929981,Pre-lockdown,7,2,2018,0,0,0,0,1,0,0,1
08-02-2018,21.2,56.4,Winter,21.5,0,3130000,3973.235915,2695.900648,1277.335267,943.5652268,1078.360259,404.3850972,269.5900648,638.6676333,383.20058,191.60029,63.86676333,Pre-lockdown,8,2,2018,0,0,0,0,1,0,0,1
09-02-2018,20.7,57.1,Winter,21.5,0,3130000,3911.056949,2625.820413,1285.236536,919.0371444,1050.328165,393.8730619,262.5820413,642.6182681,385.5709609,192.7854804,64.26182681,Pre-lockdown,9,2,2018,0,0,0,0,1,0,0,1
10-02-2018,20.5,50.2,Winter,18.3,0,3130000,3687.212672,2466.419649,1220.793022,863.2468773,986.5678598,369.9629474,246.6419649,610.3965112,366.2379067,183.1189534,61.03965112,Pre-lockdown,10,2,2018,0,0,0,0,1,0,0,1
11-02-2018,21.2,57.8,Winter,19.9,0.1,3130000,3873.749569,2710.20614,1163.543429,948.5721489,1084.082456,406.530921,271.020614,581.7717147,349.0630288,174.5315144,58.17717147,Pre-lockdown,11,2,2018,0,0,0,0,1,0,0,1
12-02-2018,20.6,62.4,Winter,20.5,0,3130000,3836.44219,2529.654319,1306.787871,885.3790116,1011.861728,379.4481478,252.9654319,653.3939355,392.0363613,196.0181806,65.33939355,Pre-lockdown,12,2,2018,0,0,0,0,1,0,0,1
13-02-2018,20.8,56.2,Winter,22.2,0,3130000,3967.018018,2674.389485,1292.628533,936.0363197,1069.755794,401.1584227,267.4389485,646.3142665,387.7885599,193.89428,64.63142665,Pre-lockdown,13,2,2018,0,0,0,0,1,0,0,1
14-02-2018,21.8,63.9,Winter,19.7,0,3130000,3935.928535,2714.248023,1221.680512,949.986808,1085.699209,407.1372034,271.4248023,610.8402561,366.5041537,183.2520768,61.08402561,Pre-lockdown,14,2,2018,0,0,0,0,1,0,0,1
