Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Day,Month,Year,Season_Autumn,Season_Monsoon,Season_Post-Monsoon,Season_Summer,Season_Winter,Period_Lockdown,Period_Post-lockdown,Period_Pre-lockdown
01-01-2018,19.4,62.6,Winter,18.6,0.0,3130000,3682.0553713620793,2180.464148945929,1501.5912224161502,654.1392446837787,872.1856595783717,436.0928297891858,218.0464148945929,750.7956112080751,300.31824448323005,300.31824448323005,150.15912224161502,Pre-lockdown,1,1,2018,0,0,0,0,1,0,0,1
02-01-2018,19.4,64.0,Winter,18.7,0.0,3130000,3534.4085086596842,2178.8758114866155,1355.5326971730688,653.6627434459846,871.5503245946462,435.7751622973231,217.88758114866155,677.7663485865344,271.10653943461375,271.10653943461375,135.55326971730688,Pre-lockdown,2,1,2018,0,0,0,0,1,0,0,1
03-01-2018,19.5,66.6,Winter,18.8,0.0,3130000,3529.5325928558536,1996.4126643243335,1533.1199285315201,598.9237992973,798.5650657297334,399.2825328648667,199.64126643243335,766.5599642657601,306.62398570630404,306.62398570630404,153.31199285315202,Pre-lockdown,3,1,2018,0,0,0,0,1,0,0,1
04-01-2018,20.1,66.6,Winter,18.4,0.0,3130000,3500.0,2036.4624940011217,1463.5375059988783,610.9387482003365,814.5849976004488,407.2924988002244,203.6462494001122,731.7687529994391,292.70750119977566,292.70750119977566,146.35375059988783,Pre-lockdown,4,1,2018,0,0,0,0,1,0,0,1
05-01-2018,20.0,66.7,Winter,17.5,0.0,3130000,3755.3028295545337,2366.3198961716944,1388.9829333828393,709.8959688515083,946.5279584686778,473.2639792343389,236.63198961716944,694.4914666914196,277.79658667656787,277.79658667656787,138.89829333828393,Pre-lockdown,5,1,2018,0,0,0,0,1,0,0,1
06-01-2018,19.8,62.6,Winter,18.3,0.0,3130000,3500.0,2126.750071667075,1373.2499283329248,638.0250215001225,850.7000286668301,425.35001433341506,212.67500716670753,686.6249641664624,274.649985666585,274.649985666585,137.3249928332925,Pre-lockdown,6,1,2018,0,0,0,0,1,0,0,1
07-01-2018,19.0,63.2,Winter,18.9,0.0,3130000,3500.0,2176.7306200033045,1323.2693799966958,653.0191860009913,870.6922480013218,435.3461240006609,217.67306200033045,661.6346899983479,264.65387599933916,264.65387599933916,132.32693799966958,Pre-lockdown,7,1,2018,0,0,0,0,1,0,0,1
08-01-2018,19.0,63.3,Winter,18.9,0.0,3130000,3596.795503418944,2102.474331439492,1494.3211719794522,630.7422994318475,840.9897325757968,420.4948662878984,210.2474331439492,747.1605859897261,298.86423439589043,298.86423439589043,149.43211719794522,Pre-lockdown,8,1,2018,0,0,0,0,1,0,0,1
09-01-2018,19.2,64.8,Winter,18.9,0.0,3130000,3500.0,2233.47691064405,1266.5230893559503,670.0430731932149,893.39076425762,446.69538212881,223.347691064405,633.2615446779752,253.3046178711901,253.3046178711901,126.65230893559504,Pre-lockdown,9,1,2018,0,0,0,0,1,0,0,1
10-01-2018,20.0,65.3,Winter,18.4,0.0,3130000,3660.7911424242156,2213.536473736959,1447.2546686872565,664.0609421210877,885.4145894947837,442.70729474739187,221.35364737369594,723.6273343436283,289.4509337374513,289.4509337374513,144.72546686872565,Pre-lockdown,10,1,2018,0,0,0,0,1,0,0,1
