Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh),Urban Household (kWh),Urban Industrial (kWh),Urban Commercial (kWh),Urban Others (kWh),Rural Household (kWh),Rural Industrial (kWh),Rural Commercial (kWh),Rural Others (kWh),Period,Adjusted Total Usage (kWh)
2018-01-01,19.4,62.6,Winter,18.6,0.0,3130000.0,2870.0,2009.0,861.0,800.78,605.52,502.25,100.45,460.32,172.2,172.2,56.28,,
2018-01-02,19.4,64.0,Winter,18.7,0.0,3130000.0,2875.0,2012.5,862.5,622.69,786.06,503.12,100.62,437.34,172.5,172.5,80.16,,
2018-01-03,19.5,66.6,Winter,18.8,0.0,3130000.0,2890.0,2023.0,867.0,763.69,652.41,505.75,101.15,459.28,173.4,173.4,60.92,,
2018-01-04,20.1,66.6,Winter,18.4,0.0,3130000.0,2930.0,2051.0,879.0,703.65,732.05,512.75,102.55,482.84,175.8,175.8,44.56,,
2018-01-05,20.0,66.7,Winter,17.5,0.0,3130000.0,2875.0,2012.5,862.5,618.0,790.75,503.12,100.62,452.72,172.5,172.5,64.78,,
2018-01-06,19.8,62.6,Winter,18.3,0.0,3130000.0,2895.0,2026.5,868.5,743.25,675.3,506.62,101.32,437.42,173.7,173.7,83.68,,
2018-01-07,19.0,63.2,Winter,18.9,0.0,3130000.0,2845.0,1991.5,853.5,660.62,733.43,497.88,99.58,445.85,170.7,170.7,66.25,,
2018-01-08,19.0,63.3,Winter,18.9,0.0,3130000.0,2845.0,1991.5,853.5,681.58,712.47,497.88,99.58,427.79,170.7,170.7,84.31,,
2018-01-09,19.2,64.8,Winter,18.9,0.0,3130000.0,2865.0,2005.5,859.5,766.42,637.43,501.38,100.28,463.11,171.9,171.9,52.59,,
2018-01-10,20.0,65.3,Winter,18.4,0.0,3130000.0,2920.0,2044.0,876.0,666.29,764.51,511.0,102.2,447.71,175.2,175.2,77.89,,
2018-01-11,21.8,64.3,Winter,16.6,0.0,3130000.0,3010.0,2107.0,903.0,781.29,693.61,526.75,105.35,489.46,180.6,180.6,52.34,,
2018-01-12,23.0,64.7,Winter,15.3,0.0,3130000.0,3065.0,2145.5,919.5,854.76,647.09,536.38,107.28,469.29,183.9,183.9,82.41,,
2018-01-13,22.8,68.0,Winter,15.7,0.0,3130000.0,3065.0,2145.5,919.5,674.9,826.95,536.38,107.28,504.25,183.9,183.9,47.45,,
2018-01-14,23.0,66.2,Winter,14.5,0.0,3130000.0,3025.0,2117.5,907.5,809.85,672.4,529.38,105.88,464.54,181.5,181.5,79.96,,
2018-01-15,23.1,68.3,Winter,14.3,0.0,3130000.0,3025.0,2117.5,907.5,778.7,703.55,529.38,105.88,477.8,181.5,181.5,66.7,,
2018-01-16,23.3,65.1,Winter,15.6,0.0,3130000.0,3110.0,2177.0,933.0,812.58,711.32,544.25,108.85,505.07,186.6,186.6,54.73,,
2018-01-17,22.6,54.8,Winter,18.4,0.0,3130000.0,3180.0,2226.0,954.0,812.11,746.09,556.5,111.3,496.71,190.8,190.8,75.69,,
2018-01-18,21.3,58.7,Winter,18.8,0.0,3130000.0,3070.0,2149.0,921.0,680.64,823.66,537.25,107.45,502.54,184.2,184.2,50.06,,
2018-01-19,21.0,57.6,Winter,19.2,0.0,3130000.0,3060.0,2142.0,918.0,775.43,723.97,535.5,107.1,467.39,183.6,183.6,83.41,,
2018-01-20,20.6,56.6,Winter,20.2,0.0,3130000.0,3070.0,2149.0,921.0,702.38,801.92,537.25,107.45,494.96,184.2,184.2,57.64,,
2018-01-21,20.2,55.8,Winter,20.3,0.0,3130000.0,3035.0,2124.5,910.5,823.21,663.94,531.12,106.22,478.48,182.1,182.1,67.82,,
2018-01-22,20.7,57.8,Winter,20.1,0.0,3130000.0,3075.0,2152.5,922.5,665.02,841.73,538.12,107.62,479.19,184.5,184.5,74.31,,
2018-01-23,20.5,65.4,Winter,20.1,50.0,3130000.0,3055.0,2138.5,916.5,643.75,853.2,534.62,106.93,503.42,183.3,183.3,46.48,,
2018-01-24,19.2,68.1,Winter,20.4,0.0,3130000.0,2940.0,2058.0,882.0,630.03,810.57,514.5,102.9,465.13,176.4,176.4,64.07,,
2018-01-25,19.3,59.5,Winter,20.6,0.0,3130000.0,2960.0,2072.0,888.0,710.59,739.81,518.0,103.6,483.26,177.6,177.6,49.54,,
2018-01-26,19.5,56.6,Winter,20.9,0.0,3130000.0,2995.0,2096.5,898.5,688.61,778.94,524.12,104.82,474.45,179.7,179.7,64.65,,
2018-01-27,19.8,57.2,Winter,20.8,0.0,3130000.0,3020.0,2114.0,906.0,636.56,843.24,528.5,105.7,484.72,181.2,181.2,58.88,,
2018-01-28,20.7,56.6,Winter,20.6,0.0,3130000.0,3100.0,2170.0,930.0,740.37,778.63,542.5,108.5,509.35,186.0,186.0,48.65,,
2018-01-29,20.6,59.1,Winter,20.8,0.0,3130000.0,3100.0,2170.0,930.0,866.75,652.25,542.5,108.5,473.77,186.0,186.0,84.23,,
2018-01-30,21.0,53.3,Winter,21.1,0.0,3130000.0,3155.0,2208.5,946.5,708.73,837.22,552.12,110.43,482.23,189.3,189.3,85.67,,
2018-01-31,20.7,47.9,Winter,21.4,0.0,3130000.0,3140.0,2198.0,942.0,713.98,824.62,549.5,109.9,506.43,188.4,188.4,58.77,,
2018-02-01,20.5,48.0,Winter,21.4,0.0,3130000.0,3120.0,2184.0,936.0,688.24,840.56,546.0,109.2,491.05,187.2,187.2,70.55,,
2018-02-02,20.9,50.0,Winter,21.4,0.0,3130000.0,3160.0,2212.0,948.0,860.52,687.88,553.0,110.6,520.48,189.6,189.6,48.32,,
2018-02-03,21.6,51.7,Winter,21.2,0.0,3130000.0,3220.0,2254.0,966.0,836.21,741.59,563.5,112.7,516.01,193.2,193.2,63.59,,
2018-02-04,22.4,53.9,Winter,21.1,0.0,3130000.0,3295.0,2306.5,988.5,813.26,801.29,576.62,115.32,517.79,197.7,197.7,75.31,,
2018-02-05,22.3,55.0,Winter,21.1,0.0,3130000.0,3285.0,2299.5,985.5,769.07,840.58,574.88,114.98,501.57,197.1,197.1,89.73,,
2018-02-06,21.4,52.0,Winter,18.6,0.0,3130000.0,3070.0,2149.0,921.0,647.14,857.16,537.25,107.45,466.76,184.2,184.2,85.84,,
2018-02-07,21.6,58.1,Winter,11.7,0.0,3130000.0,2745.0,1921.5,823.5,687.7,657.35,480.38,96.08,450.47,164.7,164.7,43.63,,
2018-02-08,21.2,56.4,Winter,21.5,0.0,3130000.0,3195.0,2236.5,958.5,753.3,812.25,559.12,111.82,509.1,191.7,191.7,66.0,,
2018-02-09,20.7,57.1,Winter,21.5,0.0,3130000.0,3145.0,2201.5,943.5,812.05,729.0,550.38,110.08,517.12,188.7,188.7,48.98,,
2018-02-10,20.5,50.2,Winter,18.3,0.0,3130000.0,2965.0,2075.5,889.5,646.37,806.48,518.88,103.78,448.15,177.9,177.9,85.55,,
2018-02-11,21.2,57.8,Winter,19.9,0.1,3130000.0,3115.0,2180.5,934.5,722.7,803.65,545.12,109.02,495.4,186.9,186.9,65.3,,
2018-02-12,20.6,62.4,Winter,20.5,0.0,3130000.0,3085.0,2159.5,925.5,711.47,800.18,539.88,107.98,508.94,185.1,185.1,46.36,,
2018-02-13,20.8,56.2,Winter,22.2,0.0,3130000.0,3190.0,2233.0,957.0,799.1,764.0,558.25,111.65,513.82,191.4,191.4,60.38,,
