Date,Temp (°C),Humidity (%),Season,Solar Energy (kWh),Precipitation (mm),Population,Total Usage (kWh),Urban Usage (kWh),Rural Usage (kWh)
01-01-2018,19.4,62.6,Winter,18.6,0,3130000,2870,1809.828298,1060.171702
02-01-2018,19.4,64,Winter,18.7,0,3130000,2875,1842.823872,1032.176128
03-01-2018,19.5,66.6,Winter,18.8,0,3130000,2890,1865.374126,1024.625874
04-01-2018,20.1,66.6,Winter,18.4,0,3130000,2930,1788.046516,1141.953484
05-01-2018,20,66.7,Winter,17.5,0,3130000,2875,1911.868729,963.1312706
06-01-2018,19.8,62.6,Winter,18.3,0,3130000,2895,1901.668416,993.3315837
07-01-2018,19,63.2,Winter,18.9,0,3130000,2845,1757.899515,1087.100485
08-01-2018,19,63.3,Winter,18.9,0,3130000,2845,1888.432794,956.5672061
09-01-2018,19.2,64.8,Winter,18.9,0,3130000,2865,1988.19345,876.8065497
10-01-2018,20,65.3,Winter,18.4,0,3130000,2920,1987.156174,932.8438263
11-01-2018,21.8,64.3,Winter,16.6,0,3130000,3010,1839.598909,1170.401091
12-01-2018,23,64.7,Winter,15.3,0,3130000,3065,2049.549786,1015.450214
13-01-2018,22.8,68,Winter,15.7,0,3130000,3065,1983.135457,1081.864543
14-01-2018,23,66.2,Winter,14.5,0,3130000,3025,2007.545856,1017.454144
15-01-2018,23.1,68.3,Winter,14.3,0,3130000,3025,2021.092058,1003.907942
16-01-2018,23.3,65.1,Winter,15.6,0,3130000,3110,2152.435847,957.5641534
17-01-2018,22.6,54.8,Winter,18.4,0,3130000,3180,2051.384069,1128.615931
18-01-2018,21.3,58.7,Winter,18.8,0,3130000,3070,1971.291963,1098.708037
19-01-2018,21,57.6,Winter,19.2,0,3130000,3060,1859.269406,1200.730594
20-01-2018,20.6,56.6,Winter,20.2,0,3130000,3070,1906.577149,1163.422851
21-01-2018,20.2,55.8,Winter,20.3,0,3130000,2940,2013.979529,926.0204712
22-01-2018,20.7,57.8,Winter,20.1,0,3130000,2940.687802,2018.097814,922.5899875
23-01-2018,20.5,65.4,Winter,20.1,50,3130000,2941.375603,1901.882078,1039.493526
24-01-2018,19.2,68.1,Winter,20.4,0,3130000,2942.063405,2028.554273,913.5091324
25-01-2018,19.3,59.5,Winter,20.6,0,3130000,2942.751207,1903.760111,1038.991095
26-01-2018,19.5,56.6,Winter,20.9,0,3130000,2943.439008,1770.161494,1173.277515
27-01-2018,19.8,57.2,Winter,20.8,0,3130000,2944.12681,2014.030833,930.0959768
28-01-2018,20.7,56.6,Winter,20.6,0,3130000,2944.814612,1996.725635,948.0889762
29-01-2018,20.6,59.1,Winter,20.8,0,3130000,2945.502413,1850.48924,1095.013173
30-01-2018,21,53.3,Winter,21.1,0,3130000,2946.190215,2022.108874,924.0813412
31-01-2018,20.7,47.9,Winter,21.4,0,3130000,2946.878017,1919.969198,1026.908818
01-02-2018,20.5,48,Winter,21.4,0,3130000,3120,2149.956574,970.0434264
02-02-2018,20.9,50,Winter,21.4,0,3130000,3160,2128.866647,1031.133353
03-02-2018,21.6,51.7,Winter,21.2,0,3130000,3220,2096.041688,1123.958312
04-02-2018,22.4,53.9,Winter,21.1,0,3130000,3295,2074.804207,1220.195793
05-02-2018,22.3,55,Winter,21.1,0,3130000,3285,2146.801575,1138.198425
06-02-2018,21.4,52,Winter,18.6,0,3130000,3070,1898.730489,1171.269511
07-02-2018,21.6,58.1,Winter,11.7,0,3130000,2745,1821.397447,923.6025531
08-02-2018,21.2,56.4,Winter,21.5,0,3130000,3195,2089.36532,1105.63468
09-02-2018,20.7,57.1,Winter,21.5,0,3130000,3145,2151.517212,993.482788
10-02-2018,20.5,50.2,Winter,18.3,0,3130000,2965,1994.04238,970.9576197
11-02-2018,21.2,57.8,Winter,19.9,0.1,3130000,3115,1924.676097,1190.323903
12-02-2018,20.6,62.4,Winter,20.5,0,3130000,3085,1874.279499,1210.720501
13-02-2018,20.8,56.2,Winter,22.2,0,3130000,3190,2183.996247,1006.003753
14-02-2018,21.8,63.9,Winter,19.7,0,3130000,3165,2184.061222,980.9387778
15-02-2018,23.5,59.4,Winter,20.2,0,3130000,3360,2139.573676,1220.426324
16-02-2018,23.3,60.3,Winter,17.8,0,3130000,3220,2139.847704,1080.152296
17-02-2018,23.5,55.1,Winter,22.5,0,3130000,3475,2185.002728,1289.997272
18-02-2018,23.5,51.5,Winter,22.5,0,3130000,3475,2246.877106,1228.122894
19-02-2018,23.9,47,Winter,22.2,0,3130000,3500,2402.227094,1097.772906
20-02-2018,24.2,45.7,Winter,22.1,0,3130000,3525,2237.149187,1287.850813
21-02-2018,24,49.9,Winter,19.6,0,3130000,2947.565818,1977.187832,970.377986
22-02-2018,24.3,53.1,Winter,19.1,0,3130000,2948.25362,1945.945263,1002.308357
23-02-2018,24.9,55.6,Winter,19,0,3130000,2948.941422,1874.588682,1074.35274
24-02-2018,25.1,54.7,Winter,20.5,0,3130000,2949.629223,1808.129963,1141.49926
25-02-2018,24.4,51.4,Winter,23.5,0,3130000,2950.317025,1840.93984,1109.377185
26-02-2018,24.4,44.8,Winter,23.7,0,3130000,2951.004827,1949.876346,1001.128481
27-02-2018,24.7,43.4,Winter,23.6,0,3130000,2951.692628,1897.433292,1054.259336
28-02-2018,25.1,42.7,Winter,23.8,0,3130000,2952.38043,1888.062238,1064.318192
01-03-2018,25.9,43,Summer,23.8,0,3130000,3780,2511.631673,1268.368327
02-03-2018,26.1,47.2,Summer,22.9,0,3130000,3755,2371.283381,1383.716619
03-03-2018,26.1,53.5,Summer,18.8,0,3130000,3550,2133.648458,1416.351542
04-03-2018,25.9,63.3,Summer,19.9,0,3130000,3585,2420.911185,1164.088815
05-03-2018,25.8,58.3,Summer,20.4,0,3130000,3600,2339.143388,1260.856612
06-03-2018,26,49.6,Summer,20.6,0,3130000,3630,2350.148194,1279.851806
07-03-2018,26.4,52.9,Summer,19.8,0,3130000,3630,2522.283466,1107.716534
08-03-2018,25.9,56.4,Summer,22,0,3130000,3690,2418.705953,1271.294047
09-03-2018,26.2,52.2,Summer,21.7,0,3130000,3705,2516.568523,1188.431477
10-03-2018,26.5,50.2,Summer,21.9,0,3130000,3745,2486.067843,1258.932157
11-03-2018,27.5,44.6,Summer,21.6,0,3130000,3830,2451.946712,1378.053288
12-03-2018,26.5,41.2,Summer,20.9,0,3130000,3695,2351.388582,1343.611418
13-03-2018,26.9,42.5,Summer,20,0,3130000,3690,2471.442641,1218.557359
14-03-2018,27,37.2,Summer,18.9,0,3130000,3645,2410.203827,1234.796173
15-03-2018,25.3,36.5,Summer,5.6,0,3130000,2810,1904.877406,905.1225939
